Año ,Agrupacion,Votos ,Porcentge
2015,Juntos,3224473,0.355
2015,Frente de Todos,2374740,0.262
2015,Avanza Libetad,0,0.000
2015,FIT,296085,0.033
2017,Juntos,3930406,0.422
2017,Frente de Todos,3383114,0.363
2017,Avanza Libetad,0,0.000
2017,FIT,497665,0.053
2019,Juntos,4921536,0.527
2019,Frente de Todos,3223460,0.345
2019,Avanza Libetad,0,0.000
2019,FIT,321876,0.035
2021,Juntos,3149989,0.380
2021,Frente de Todos,2789022,0.336
2021,Avanza Libetad,404016,0.041
2021,FIT,423923,0.052
