;Agrupacion;;;;;;;;;;;;;;
Id Circuito;APTITUD RENOVADORA;AUTODETERMINACIÓN Y LIBERTAD;AUTONOMISTA;DIGNIDAD POPULAR;FEDERAL;FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;FRENTE DE TODOS;JUNTOS POR EL CAMBIO;LA LIBERTAD AVANZA;MOVIMIENTO AL SOCIALISMO;MOVIMIENTO LIBRES DEL SUR;POLÍTICA OBRERA;RENOVADOR FEDERAL;SOCIALISTA AUTÉNTICO;Total general
34;0,002500853;0,026941003;0,002444015;0,001705127;0,004092304;0,067750369;0,257076276;0,470217119;0,144878936;0,003637604;0,003751279;0,004944868;0,001193589;0,008866659;1
35;0,003253864;0,025655466;0,005443965;0,001814655;0,005756836;0,078280458;0,290657656;0,417933796;0,146924473;0,003128715;0,004818222;0,006445154;0,000625743;0,009260997;1
36;0,002907971;0,025487513;0,002480328;0,001881628;0,007526514;0,082278481;0,325008553;0,378806021;0,14796442;0,0041909;0,004361957;0,007697571;0,0011974;0,008210742;1
37;0,002444988;0,023821167;0,003143556;0,001676563;0,0056584;0,075096053;0,303597625;0,417045058;0,141669577;0,004400978;0,005099546;0,007265107;0,001187565;0,007893818;1
38;0,002126595;0,026144608;0,002314236;0,001376032;0,004315737;0,072304228;0,290968226;0,434701026;0,142857143;0,003252439;0,005754316;0,005441581;0,000750563;0,00769327;1
39;0,002824859;0,028128381;0,002945066;0,001322274;0,005228994;0,072484674;0,280021637;0,438333934;0,146291622;0,003245582;0,00444765;0,007332612;0,000601034;0,006791682;1
40;0,002243567;0,023908014;0,002734348;0,001262007;0,005538807;0,072355045;0,284652598;0,446189441;0,138890836;0,002944682;0,005819253;0,005538807;0,00049078;0,007431817;1
41;0,004094539;0,028580695;0,00227024;0,00166214;0,004783719;0,073539547;0,314103863;0,410062026;0,136944095;0,003202659;0,004337779;0,007337739;0,00085134;0,008229619;1
42;0,002354977;0,029028692;0,002354977;0,000961215;0,006584323;0,069111357;0,300475801;0,42428029;0,144134186;0,002979766;0,004854136;0,005911472;0,000720911;0,006247897;1
43;0,004144775;0,028196147;0,002918856;0,001926445;0,00607122;0,075189726;0,304845301;0,415294804;0,141155867;0,003152364;0,003969644;0,004845301;0,00081728;0,007472271;1
44;0,002962;0,023407022;0,001950585;0,001444878;0,006285219;0,084958821;0,317584164;0,410345326;0,129677792;0,001806097;0,004045658;0,006285219;0,000794683;0,008452536;1
45;0,001949118;0,021645466;0,001333607;0,001538777;0,006155109;0,071296676;0,360381617;0,381411572;0,127718506;0,003898236;0,006462864;0,00677062;0,00020517;0,009232663;1
46;0,00244146;0,023082899;0,002774387;0,001109755;0,006547553;0,080235268;0,344689824;0,366551992;0,146376651;0,004217068;0,00466097;0,00810121;0,000776828;0,008434136;1
47;0,004498889;0,015068567;0,002439157;0,002872784;0,0062334;0,065965635;0,517263808;0,23302076;0,11729633;0,005257738;0,007154859;0,013225649;0,002113936;0,007588487;1
48;0,002369044;0,021795209;0,002474335;0,001000263;0,006159516;0,066333246;0,298025796;0,454119505;0,126875494;0,002737563;0,004422216;0,006264807;0,000684391;0,006738615;1
49;0,002718975;0,026736583;0,002460025;0,001747912;0,005049524;0,065125914;0,320385835;0,392762349;0,158736324;0,005114262;0,004790574;0,007185861;0,001165275;0,006020587;1
50;0,002136296;0,023712882;0,001815851;0,000640889;0,004112369;0,061258278;0,254646443;0,502990814;0,129993591;0,003738517;0,003631703;0,004593036;0,000373852;0,00635548;1
51;0,001547531;0,028224024;0,003095063;0,00073692;0,004053058;0,055121592;0,252321297;0,493883567;0,139646279;0,003316139;0,004716286;0,006116433;0,000810612;0,006411201;1
52;0,003373103;0,017677556;0,001561622;0,001311762;0,008057967;0,070710225;0,346242738;0,373852208;0,15091511;0,003747892;0,006621276;0,008307827;0,001124368;0,006496346;1
53;0,004618806;0,019957804;0,002052803;0,001824713;0,005074984;0,070650624;0,355305925;0,372241546;0,138165023;0,005816274;0,005816274;0,009579746;0,001767691;0,007127787;1
54;0,003611151;0,023159517;0,002022245;0,001588907;0,008185276;0,080745342;0,309114546;0,418219462;0,127353267;0,003707449;0,005585247;0,007559343;0,001251866;0,007896384;1
55;0,003672338;0,025331635;0,00224837;0,002098479;0,005321142;0,067151315;0,36093832;0,368282995;0,140298284;0,00449674;0,004946414;0,006595218;0,001199131;0,007419621;1
56;0,002755689;0,023935123;0,003857964;0,001181009;0,006219983;0,071884104;0,362963546;0,366349106;0,134792536;0,00338556;0,007243524;0,009369341;0,000629872;0,005432643;1
57;0,002402237;0,02410113;0,003859331;0,001535856;0,005552711;0,069389202;0,316110739;0,400070886;0,155436538;0,003189855;0,003938093;0,005788997;0,000905761;0,007718663;1
58;0,002485744;0,029926402;0,002290783;0,001072282;0,004289126;0,073841205;0,31681045;0,402349271;0,142564702;0,004094166;0,005556368;0,005507628;0,000682361;0,008529512;1
59;0,002871539;0,027198353;0,002004659;0,00140868;0,005905618;0,07747738;0,318740857;0,412797313;0,128948366;0,002438099;0,004876199;0,006068158;0,0010836;0,008181178;1
60;0,002293784;0,032562742;0,002293784;0,000854547;0,00445264;0,079517856;0,302734551;0,440541513;0,111046146;0,003643069;0,00386795;0,005756949;0,000764595;0,009669875;1
61;0,002117049;0,028415506;0,003622507;0,000752729;0,005033873;0,072073767;0,257245013;0,483675198;0,128199097;0,002399323;0,005551374;0,004187053;0,000611592;0,00611592;1
62;0,002436228;0,032960734;0,002937805;0,001648037;0,00494411;0,074448266;0,29829464;0,420321009;0,132057896;0,003511035;0,005159071;0,007881915;0,001003153;0,012396102;1
63;0,002147591;0,028733291;0,002554893;0,000925686;0,007257378;0,074054875;0,268263783;0,468545192;0,128003851;0,002591921;0,004961677;0,0041841;0,000518384;0,007257378;1
64;0,002408478;0,034062758;0,001789155;0,001101018;0,00423204;0,078654005;0,274772915;0,459365538;0,122488302;0,002890173;0,003819158;0,004679328;0,000688137;0,009048995;1
